StnId,StnName,CIMISRegion,Date,Jul,MaxAirTempC,qc1,MinAirTempC,qc2
105,Westlands,San Joaquin Valley,9/21/2016,265,32.7, ,12.5, 
105,Westlands,San Joaquin Valley,9/22/2016,266,24.9, ,6.8,Y
105,Westlands,San Joaquin Valley,9/23/2016,267,28.2, ,10, 
105,Westlands,San Joaquin Valley,9/24/2016,268,31, ,10.4, 
105,Westlands,San Joaquin Valley,9/25/2016,269,35.1, ,11.4, 
105,Westlands,San Joaquin Valley,9/26/2016,270,38.4, ,12.5, 
105,Westlands,San Joaquin Valley,9/27/2016,271,37.9, ,14.7, 
105,Westlands,San Joaquin Valley,9/28/2016,272,37.1, ,14, 
105,Westlands,San Joaquin Valley,9/29/2016,273,34.7, ,15.4, 
105,Westlands,San Joaquin Valley,9/30/2016,274,31.2, ,13.2, 
105,Westlands,San Joaquin Valley,10/1/2016,275,26.5, ,9.8, 
105,Westlands,San Joaquin Valley,10/2/2016,276,24.9, ,9.4, 
105,Westlands,San Joaquin Valley,10/3/2016,277,22.2, ,7.5, 
105,Westlands,San Joaquin Valley,10/4/2016,278,24.1, ,8.6, 
105,Westlands,San Joaquin Valley,10/5/2016,279,25.1,P,8.6,P
105,Westlands,San Joaquin Valley,10/6/2016,280,26.6, ,7.9, 
105,Westlands,San Joaquin Valley,10/7/2016,281,28.5, ,7.8, 
105,Westlands,San Joaquin Valley,10/8/2016,282,32.1, ,8.7, 
105,Westlands,San Joaquin Valley,10/9/2016,283,33.8, ,9.6, 
105,Westlands,San Joaquin Valley,10/10/2016,284,31.2, ,11.6, 
105,Westlands,San Joaquin Valley,10/11/2016,285,26.3, ,10.3, 
105,Westlands,San Joaquin Valley,10/12/2016,286,27.6, ,11.1, 
105,Westlands,San Joaquin Valley,10/13/2016,287,27.1, ,9.8, 
