Rep,PlotID,TrtID,TrtLabel,TreceID,PerAcre,Lure,Period,Plotsum,Blend,PerHa
2,3,3,C,1450,7,L2H,1,64,Ald+TCP,17
1,10,3,C,1450,7,L2H,1,53,Ald+TCP,17
3,14,3,C,1450,7,L2H,1,105,Ald+TCP,17
4,24,3,C,1450,7,L2H,1,28,Ald+TCP,17
3,5,6,F,1451,7,L2H,1,96,Ald,17
4,7,6,F,1451,7,L2H,1,20,Ald,17
1,9,6,F,1451,7,L2H,1,61,Ald,17
2,12,6,F,1451,7,L2H,1,51,Ald,17
1,1,2,B,1450,12,L2H,1,25,Ald+TCP,30
2,11,2,B,1450,12,L2H,1,8,Ald+TCP,30
3,13,2,B,1450,12,L2H,1,14,Ald+TCP,30
4,16,2,B,1450,12,L2H,1,12,Ald+TCP,30
1,2,5,E,1451,12,L2H,1,28,Ald,30
2,4,5,E,1451,12,L2H,1,25,Ald,30
3,6,5,E,1451,12,L2H,1,86,Ald,30
4,8,5,E,1451,12,L2H,1,10,Ald,30
1,18,1,A,1450,28,L2H,1,3,Ald+TCP,69
2,19,1,A,1450,28,L2H,1,3,Ald+TCP,69
3,22,1,A,1450,28,L2H,1,5,Ald+TCP,69
4,23,1,A,1450,28,L2H,1,1,Ald+TCP,69
4,15,4,D,1451,28,L2H,1,2,Ald,69
1,17,4,D,1451,28,L2H,1,15,Ald,69
2,20,4,D,1451,28,L2H,1,5,Ald,69
3,21,4,D,1451,28,L2H,1,5,Ald,69
