Rep,Position,TrtLabel,Trt,TrapID,TrapLabel,Int0,Int1,NOW1,Int2,NOW2,d1,d2
1,1,a,Biolure,11,11a,07OCT2016,11OCT2016,14,13OCT2016,2,4,2
1,2,c,TRE1451,12,12c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
1,3,b,TRE1450,13,13b,07OCT2016,11OCT2016,5,13OCT2016,1,4,2
2,1,c,TRE1451,21,21c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
2,2,a,Biolure,22,22a,07OCT2016,11OCT2016,4,13OCT2016,0,4,2
2,3,b,TRE1450,23,23b,07OCT2016,11OCT2016,5,13OCT2016,0,4,2
3,1,b,TRE1450,31,31b,07OCT2016,11OCT2016,1,13OCT2016,1,4,2
3,2,a,Biolure,32,32a,07OCT2016,11OCT2016,2,13OCT2016,1,4,2
3,3,c,TRE1451,33,33c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
4,1,b,TRE1450,41,41b,07OCT2016,11OCT2016,1,13OCT2016,0,4,2
4,2,c,TRE1451,42,42c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
4,3,a,Biolure,43,43a,07OCT2016,11OCT2016,4,13OCT2016,1,4,2
5,1,a,Biolure,51,51a,07OCT2016,11OCT2016,4,13OCT2016,0,4,2
5,2,b,TRE1450,52,52b,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
5,3,c,TRE1451,53,53c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
6,1,b,TRE1450,61,61b,07OCT2016,11OCT2016,2,13OCT2016,0,4,2
6,2,c,TRE1451,62,62c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
6,3,a,Biolure,63,63a,07OCT2016,11OCT2016,9,13OCT2016,2,4,2
7,1,b,TRE1450,71,71b,07OCT2016,11OCT2016,3,13OCT2016,1,4,2
7,2,a,Biolure,72,72a,07OCT2016,11OCT2016,1,13OCT2016,0,4,2
7,3,c,TRE1451,73,73c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
8,1,c,TRE1451,81,81c,07OCT2016,11OCT2016,0,13OCT2016,0,4,2
8,2,a,Biolure,82,82a,07OCT2016,11OCT2016,10,13OCT2016,2,4,2
8,3,b,TRE1450,83,83b,07OCT2016,11OCT2016,2,13OCT2016,1,4,2
