row,pos,lure,StartDate,EndDate,trap_id,Count
1,1,AldTCP_4in,8/2/2019,8/5/2019,11,9
1,2,AldTCP_12in,8/2/2019,8/5/2019,12,22
1,3,BlankCtrl,8/2/2019,8/5/2019,13,0
1,4,CidetrakNOW_4in,8/2/2019,8/5/2019,14,1
1,5,NowBiolure,8/2/2019,8/5/2019,15,61
1,6,CidetrakNOW_1in,8/2/2019,8/5/2019,16,0
1,7,CidetrakNOW_8in,8/2/2019,8/5/2019,17,0
1,8,AldTCP_1in,8/2/2019,8/5/2019,18,32
2,1,BlankCtrl,8/2/2019,8/5/2019,21,0
2,2,NowBiolure,8/2/2019,8/5/2019,22,31
2,3,CidetrakNOW_8in,8/2/2019,8/5/2019,23,1
2,4,AldTCP_1in,8/2/2019,8/5/2019,24,11
2,5,AldTCP_4in,8/2/2019,8/5/2019,25,12
2,6,CidetrakNOW_1in,8/2/2019,8/5/2019,26,0
2,7,AldTCP_12in,8/2/2019,8/5/2019,27,9
2,8,CidetrakNOW_4in,8/2/2019,8/5/2019,28,1
3,1,AldTCP_4in,8/2/2019,8/5/2019,31,25
3,2,CidetrakNOW_1in,8/2/2019,8/5/2019,32,0
3,3,CidetrakNOW_8in,8/2/2019,8/5/2019,33,1
3,4,CidetrakNOW_4in,8/2/2019,8/5/2019,34,0
3,5,BlankCtrl,8/2/2019,8/5/2019,35,0
3,6,AldTCP_1in,8/2/2019,8/5/2019,36,6
3,7,NowBiolure,8/2/2019,8/5/2019,37,NA
3,8,AldTCP_12in,8/2/2019,8/5/2019,38,18
4,1,CidetrakNOW_4in,8/2/2019,8/5/2019,41,2
4,2,BlankCtrl,8/2/2019,8/5/2019,42,0
4,3,AldTCP_4in,8/2/2019,8/5/2019,43,5
4,4,NowBiolure,8/2/2019,8/5/2019,44,37
4,5,CidetrakNOW_1in,8/2/2019,8/5/2019,45,0
4,6,CidetrakNOW_8in,8/2/2019,8/5/2019,46,0
4,7,AldTCP_1in,8/2/2019,8/5/2019,47,5
4,8,AldTCP_12in,8/2/2019,8/5/2019,48,15
5,1,CidetrakNOW_4in,8/2/2019,8/5/2019,51,0
5,2,CidetrakNOW_8in,8/2/2019,8/5/2019,52,1
5,3,NowBiolure,8/2/2019,8/5/2019,53,14
5,4,BlankCtrl,8/2/2019,8/5/2019,54,0
5,5,AldTCP_1in,8/2/2019,8/5/2019,55,8
5,6,CidetrakNOW_1in,8/2/2019,8/5/2019,56,0
5,7,AldTCP_4in,8/2/2019,8/5/2019,57,6
5,8,AldTCP_12in,8/2/2019,8/5/2019,58,28
6,1,CidetrakNOW_4in,8/2/2019,8/5/2019,61,0
6,2,BlankCtrl,8/2/2019,8/5/2019,62,0
6,3,AldTCP_12in,8/2/2019,8/5/2019,63,19
6,4,CidetrakNOW_8in,8/2/2019,8/5/2019,64,0
6,5,AldTCP_4in,8/2/2019,8/5/2019,65,7
6,6,NowBiolure,8/2/2019,8/5/2019,66,31
6,7,AldTCP_1in,8/2/2019,8/5/2019,67,2
6,8,CidetrakNOW_1in,8/2/2019,8/5/2019,68,1
7,1,AldTCP_4in,8/2/2019,8/5/2019,71,10
7,2,AldTCP_12in,8/2/2019,8/5/2019,72,10
7,3,CidetrakNOW_1in,8/2/2019,8/5/2019,73,0
7,4,NowBiolure,8/2/2019,8/5/2019,74,21
7,5,CidetrakNOW_8in,8/2/2019,8/5/2019,75,1
7,6,CidetrakNOW_4in,8/2/2019,8/5/2019,76,1
7,7,BlankCtrl,8/2/2019,8/5/2019,77,0
7,8,AldTCP_1in,8/2/2019,8/5/2019,78,38
8,1,BlankCtrl,8/2/2019,8/5/2019,81,0
8,2,NowBiolure,8/2/2019,8/5/2019,82,24
8,3,AldTCP_12in,8/2/2019,8/5/2019,83,25
8,4,CidetrakNOW_4in,8/2/2019,8/5/2019,84,1
8,5,AldTCP_1in,8/2/2019,8/5/2019,85,25
8,6,AldTCP_4in,8/2/2019,8/5/2019,86,30
8,7,CidetrakNOW_8in,8/2/2019,8/5/2019,87,1
8,8,CidetrakNOW_1in,8/2/2019,8/5/2019,88,6
1,1,AldTCP_4in,8/5/2019,8/13/2019,11,13
1,2,AldTCP_12in,8/5/2019,8/13/2019,12,28
1,3,BlankCtrl,8/5/2019,8/13/2019,13,0
1,4,CidetrakNOW_4in,8/5/2019,8/13/2019,14,3
1,5,NowBiolure,8/5/2019,8/13/2019,15,91
1,6,CidetrakNOW_1in,8/5/2019,8/13/2019,16,0
1,7,CidetrakNOW_8in,8/5/2019,8/13/2019,17,1
1,8,AldTCP_1in,8/5/2019,8/13/2019,18,44
2,1,BlankCtrl,8/5/2019,8/13/2019,21,0
2,2,NowBiolure,8/5/2019,8/13/2019,22,27
2,3,CidetrakNOW_8in,8/5/2019,8/13/2019,23,1
2,4,AldTCP_1in,8/5/2019,8/13/2019,24,13
2,5,AldTCP_4in,8/5/2019,8/13/2019,25,17
2,6,CidetrakNOW_1in,8/5/2019,8/13/2019,26,0
2,7,AldTCP_12in,8/5/2019,8/13/2019,27,15
2,8,CidetrakNOW_4in,8/5/2019,8/13/2019,28,2
3,1,AldTCP_4in,8/5/2019,8/13/2019,31,13
3,2,CidetrakNOW_1in,8/5/2019,8/13/2019,32,0
3,3,CidetrakNOW_8in,8/5/2019,8/13/2019,33,1
3,4,CidetrakNOW_4in,8/5/2019,8/13/2019,34,1
3,5,BlankCtrl,8/5/2019,8/13/2019,35,0
3,6,AldTCP_1in,8/5/2019,8/13/2019,36,6
3,7,NowBiolure,8/5/2019,8/13/2019,37,61
3,8,AldTCP_12in,8/5/2019,8/13/2019,38,26
4,1,CidetrakNOW_4in,8/5/2019,8/13/2019,41,0
4,2,BlankCtrl,8/5/2019,8/13/2019,42,0
4,3,AldTCP_4in,8/5/2019,8/13/2019,43,1
4,4,NowBiolure,8/5/2019,8/13/2019,44,70
4,5,CidetrakNOW_1in,8/5/2019,8/13/2019,45,0
4,6,CidetrakNOW_8in,8/5/2019,8/13/2019,46,0
4,7,AldTCP_1in,8/5/2019,8/13/2019,47,1
4,8,AldTCP_12in,8/5/2019,8/13/2019,48,16
5,1,CidetrakNOW_4in,8/5/2019,8/13/2019,51,0
5,2,CidetrakNOW_8in,8/5/2019,8/13/2019,52,0
5,3,NowBiolure,8/5/2019,8/13/2019,53,44
5,4,BlankCtrl,8/5/2019,8/13/2019,54,0
5,5,AldTCP_1in,8/5/2019,8/13/2019,55,11
5,6,CidetrakNOW_1in,8/5/2019,8/13/2019,56,0
5,7,AldTCP_4in,8/5/2019,8/13/2019,57,10
