row,pos,lure,StartDate,EndDate,trap_id,Count
1,1,AldTCP_4in,8/28/2019,9/3/2019,11,47
1,2,AldTCP_12in,8/28/2019,9/3/2019,12,30
1,3,BlankCtrl,8/28/2019,9/3/2019,13,34
1,4,CidetrakNOW_4in,8/28/2019,9/3/2019,14,0
1,5,NowBiolure,8/28/2019,9/3/2019,15,0
1,6,CidetrakNOW_1in,8/28/2019,9/3/2019,16,0
1,7,CidetrakNOW_8in,8/28/2019,9/3/2019,17,2
1,8,AldTCP_1in,8/28/2019,9/3/2019,18,11
2,1,BlankCtrl,8/28/2019,9/3/2019,21,44
2,2,NowBiolure,8/28/2019,9/3/2019,22,0
2,3,CidetrakNOW_8in,8/28/2019,9/3/2019,23,2
2,4,AldTCP_1in,8/28/2019,9/3/2019,24,0
2,5,AldTCP_4in,8/28/2019,9/3/2019,25,16
2,6,CidetrakNOW_1in,8/28/2019,9/3/2019,26,0
2,7,AldTCP_12in,8/28/2019,9/3/2019,27,1
2,8,CidetrakNOW_4in,8/28/2019,9/3/2019,28,0
3,1,AldTCP_4in,8/28/2019,9/3/2019,31,64
3,2,CidetrakNOW_1in,8/28/2019,9/3/2019,32,0
3,3,CidetrakNOW_8in,8/28/2019,9/3/2019,33,1
3,4,CidetrakNOW_4in,8/28/2019,9/3/2019,34,3
3,5,BlankCtrl,8/28/2019,9/3/2019,35,23
3,6,AldTCP_1in,8/28/2019,9/3/2019,36,15
3,7,NowBiolure,8/28/2019,9/3/2019,37,0
3,8,AldTCP_12in,8/28/2019,9/3/2019,38,0
4,1,CidetrakNOW_4in,8/28/2019,9/3/2019,41,7
4,2,BlankCtrl,8/28/2019,9/3/2019,42,32
4,3,AldTCP_4in,8/28/2019,9/3/2019,43,22
4,4,NowBiolure,8/28/2019,9/3/2019,44,0
4,5,CidetrakNOW_1in,8/28/2019,9/3/2019,45,0
4,6,CidetrakNOW_8in,8/28/2019,9/3/2019,46,0
4,7,AldTCP_1in,8/28/2019,9/3/2019,47,12
4,8,AldTCP_12in,8/28/2019,9/3/2019,48,10
5,1,CidetrakNOW_4in,8/28/2019,9/3/2019,51,3
5,2,CidetrakNOW_8in,8/28/2019,9/3/2019,52,1
5,3,NowBiolure,8/28/2019,9/3/2019,53,1
5,4,BlankCtrl,8/28/2019,9/3/2019,54,10
5,5,AldTCP_1in,8/28/2019,9/3/2019,55,36
5,6,CidetrakNOW_1in,8/28/2019,9/3/2019,56,0
5,7,AldTCP_4in,8/28/2019,9/3/2019,57,17
5,8,AldTCP_12in,8/28/2019,9/3/2019,58,24
6,1,CidetrakNOW_4in,8/28/2019,9/3/2019,61,1
6,2,BlankCtrl,8/28/2019,9/3/2019,62,19
6,3,AldTCP_12in,8/28/2019,9/3/2019,63,30
6,4,CidetrakNOW_8in,8/28/2019,9/3/2019,64,0
6,5,AldTCP_4in,8/28/2019,9/3/2019,65,
6,6,NowBiolure,8/28/2019,9/3/2019,66,0
6,7,AldTCP_1in,8/28/2019,9/3/2019,67,6
6,8,CidetrakNOW_1in,8/28/2019,9/3/2019,68,0
7,1,AldTCP_4in,8/28/2019,9/3/2019,71,34
7,2,AldTCP_12in,8/28/2019,9/3/2019,72,10
7,3,CidetrakNOW_1in,8/28/2019,9/3/2019,73,0
7,4,NowBiolure,8/28/2019,9/3/2019,74,0
7,5,CidetrakNOW_8in,8/28/2019,9/3/2019,75,0
7,6,CidetrakNOW_4in,8/28/2019,9/3/2019,76,0
7,7,BlankCtrl,8/28/2019,9/3/2019,77,15
7,8,AldTCP_1in,8/28/2019,9/3/2019,78,0
8,1,BlankCtrl,8/28/2019,9/3/2019,81,12
8,2,NowBiolure,8/28/2019,9/3/2019,82,0
8,3,AldTCP_12in,8/28/2019,9/3/2019,83,39
8,4,CidetrakNOW_4in,8/28/2019,9/3/2019,84,0
8,5,AldTCP_1in,8/28/2019,9/3/2019,85,2
8,6,AldTCP_4in,8/28/2019,9/3/2019,86,23
8,7,CidetrakNOW_8in,8/28/2019,9/3/2019,87,1
8,8,CidetrakNOW_1in,8/28/2019,9/3/2019,88,1
1,1,AldTCP_4in,9/3/2019,9/10/2019,11,43
1,2,AldTCP_12in,9/3/2019,9/10/2019,12,29
1,3,BlankCtrl,9/3/2019,9/10/2019,13,37
1,4,CidetrakNOW_4in,9/3/2019,9/10/2019,14,2
1,5,NowBiolure,9/3/2019,9/10/2019,15,0
1,6,CidetrakNOW_1in,9/3/2019,9/10/2019,16,1
1,7,CidetrakNOW_8in,9/3/2019,9/10/2019,17,4
1,8,AldTCP_1in,9/3/2019,9/10/2019,18,8
2,1,BlankCtrl,9/3/2019,9/10/2019,21,39
2,2,NowBiolure,9/3/2019,9/10/2019,22,0
2,3,CidetrakNOW_8in,9/3/2019,9/10/2019,23,0
2,4,AldTCP_1in,9/3/2019,9/10/2019,24,0
2,5,AldTCP_4in,9/3/2019,9/10/2019,25,8
2,6,CidetrakNOW_1in,9/3/2019,9/10/2019,26,0
2,7,AldTCP_12in,9/3/2019,9/10/2019,27,8
2,8,CidetrakNOW_4in,9/3/2019,9/10/2019,28,2
3,1,AldTCP_4in,9/3/2019,9/10/2019,31,24
3,2,CidetrakNOW_1in,9/3/2019,9/10/2019,32,1
3,3,CidetrakNOW_8in,9/3/2019,9/10/2019,33,3
3,4,CidetrakNOW_4in,9/3/2019,9/10/2019,34,7
3,5,BlankCtrl,9/3/2019,9/10/2019,35,18
3,6,AldTCP_1in,9/3/2019,9/10/2019,36,8
3,7,NowBiolure,9/3/2019,9/10/2019,37,0
3,8,AldTCP_12in,9/3/2019,9/10/2019,38,
4,1,CidetrakNOW_4in,9/3/2019,9/10/2019,41,1
4,2,BlankCtrl,9/3/2019,9/10/2019,42,26
4,3,AldTCP_4in,9/3/2019,9/10/2019,43,21
4,4,NowBiolure,9/3/2019,9/10/2019,44,0
4,5,CidetrakNOW_1in,9/3/2019,9/10/2019,45,0
4,6,CidetrakNOW_8in,9/3/2019,9/10/2019,46,1
4,7,AldTCP_1in,9/3/2019,9/10/2019,47,4
4,8,AldTCP_12in,9/3/2019,9/10/2019,48,11
5,1,CidetrakNOW_4in,9/3/2019,9/10/2019,51,0
5,2,CidetrakNOW_8in,9/3/2019,9/10/2019,52,3
5,3,NowBiolure,9/3/2019,9/10/2019,53,0
5,4,BlankCtrl,9/3/2019,9/10/2019,54,15
5,5,AldTCP_1in,9/3/2019,9/10/2019,55,16
5,6,CidetrakNOW_1in,9/3/2019,9/10/2019,56,0
5,7,AldTCP_4in,9/3/2019,9/10/2019,57,17
5,8,AldTCP_12in,9/3/2019,9/10/2019,58,7
6,1,CidetrakNOW_4in,9/3/2019,9/10/2019,61,2
6,2,BlankCtrl,9/3/2019,9/10/2019,62,36
6,3,AldTCP_12in,9/3/2019,9/10/2019,63,9
6,4,CidetrakNOW_8in,9/3/2019,9/10/2019,64,2
6,5,AldTCP_4in,9/3/2019,9/10/2019,65,9
6,6,NowBiolure,9/3/2019,9/10/2019,66,0
6,7,AldTCP_1in,9/3/2019,9/10/2019,67,3
6,8,CidetrakNOW_1in,9/3/2019,9/10/2019,68,1
7,1,AldTCP_4in,9/3/2019,9/10/2019,71,22
7,2,AldTCP_12in,9/3/2019,9/10/2019,72,12
7,3,CidetrakNOW_1in,9/3/2019,9/10/2019,73,0
7,4,NowBiolure,9/3/2019,9/10/2019,74,0
7,5,CidetrakNOW_8in,9/3/2019,9/10/2019,75,0
7,6,CidetrakNOW_4in,9/3/2019,9/10/2019,76,0
7,7,BlankCtrl,9/3/2019,9/10/2019,77,26
7,8,AldTCP_1in,9/3/2019,9/10/2019,78,0
8,1,BlankCtrl,9/3/2019,9/10/2019,81,19
8,2,NowBiolure,9/3/2019,9/10/2019,82,0
8,3,AldTCP_12in,9/3/2019,9/10/2019,83,11
8,4,CidetrakNOW_4in,9/3/2019,9/10/2019,84,1
8,5,AldTCP_1in,9/3/2019,9/10/2019,85,5
8,6,AldTCP_4in,9/3/2019,9/10/2019,86,6
8,7,CidetrakNOW_8in,9/3/2019,9/10/2019,87,4
8,8,CidetrakNOW_1in,9/3/2019,9/10/2019,88,0
