"trap_id","lure"
11,"AldTCP_4in"
12,"AldTCP_12in"
13,"BlankCtrl"
14,"CidetrakNOW_4in"
15,"NowBiolure"
16,"CidetrakNOW_1in"
17,"CidetrakNOW_8in"
18,"AldTCP_1in"
21,"BlankCtrl"
22,"NowBiolure"
23,"CidetrakNOW_8in"
24,"AldTCP_1in"
25,"AldTCP_4in"
26,"CidetrakNOW_1in"
27,"AldTCP_12in"
28,"CidetrakNOW_4in"
31,"AldTCP_4in"
32,"CidetrakNOW_1in"
33,"CidetrakNOW_8in"
34,"CidetrakNOW_4in"
35,"BlankCtrl"
36,"AldTCP_1in"
37,"NowBiolure"
38,"AldTCP_12in"
41,"CidetrakNOW_4in"
42,"BlankCtrl"
43,"AldTCP_4in"
44,"NowBiolure"
45,"CidetrakNOW_1in"
46,"CidetrakNOW_8in"
47,"AldTCP_1in"
48,"AldTCP_12in"
51,"CidetrakNOW_4in"
52,"CidetrakNOW_8in"
53,"NowBiolure"
54,"BlankCtrl"
55,"AldTCP_1in"
56,"CidetrakNOW_1in"
57,"AldTCP_4in"
58,"AldTCP_12in"
61,"CidetrakNOW_4in"
62,"BlankCtrl"
63,"AldTCP_12in"
64,"CidetrakNOW_8in"
65,"AldTCP_4in"
66,"NowBiolure"
67,"AldTCP_1in"
68,"CidetrakNOW_1in"
71,"AldTCP_4in"
72,"AldTCP_12in"
73,"CidetrakNOW_1in"
74,"NowBiolure"
75,"CidetrakNOW_8in"
76,"CidetrakNOW_4in"
77,"BlankCtrl"
78,"AldTCP_1in"
81,"BlankCtrl"
82,"NowBiolure"
83,"AldTCP_12in"
84,"CidetrakNOW_4in"
85,"AldTCP_1in"
86,"AldTCP_4in"
87,"CidetrakNOW_8in"
88,"CidetrakNOW_1in"
